,class1,class2,corr_score
260,Computer,Salt,0
261,Computer,Kitchen,300
262,Computer,Clothes-folded,0
263,Computer,Office,241
264,Computer,Closet,0
265,Computer,Computer,0
266,Computer,Single-bed,0
267,Computer,Shelf,104
268,Computer,Bedroom,205
269,Computer,Bathroom,239
270,Single-bed,Oven,0
271,Single-bed,Bathroom-sink,0
272,Single-bed,Corridor,86
273,Single-bed,Laundry-basket,0
274,Single-bed,Chair,0
275,Single-bed,Countertop-wood,0
276,Single-bed,Robot,2
277,Single-bed,Pepper,0
278,Single-bed,Toilet,0
279,Single-bed,Salt,0
280,Single-bed,Kitchen,300
281,Single-bed,Clothes-folded,94
282,Single-bed,Office,241
283,Single-bed,Closet,90
284,Single-bed,Computer,0
285,Single-bed,Single-bed,0
286,Single-bed,Shelf,0
287,Single-bed,Bedroom,205
288,Single-bed,Bathroom,239
289,Shelf,Oven,0
290,Shelf,Bathroom-sink,0
291,Shelf,Corridor,86
292,Shelf,Laundry-basket,0
293,Shelf,Chair,103
294,Shelf,Countertop-wood,0
295,Shelf,Robot,4
296,Shelf,Pepper,0
297,Shelf,Toilet,0
298,Shelf,Salt,0
299,Shelf,Kitchen,300
300,Shelf,Clothes-folded,0
301,Shelf,Office,241
302,Shelf,Closet,0
303,Shelf,Computer,104
304,Shelf,Single-bed,0
305,Shelf,Shelf,0
306,Shelf,Bedroom,205
307,Shelf,Bathroom,239
308,Bedroom,Oven,205
309,Bedroom,Bathroom-sink,205
310,Bedroom,Laundry-basket,205
311,Bedroom,Chair,205
312,Bedroom,Countertop-wood,205
313,Bedroom,Robot,205
314,Bedroom,Pepper,205
315,Bedroom,Toilet,205
316,Bedroom,Salt,205
317,Bedroom,Clothes-folded,205
318,Bedroom,Closet,205
319,Bedroom,Computer,205
320,Bedroom,Single-bed,205
321,Bedroom,Shelf,205
322,Bathroom,Oven,239
323,Bathroom,Bathroom-sink,239
324,Bathroom,Laundry-basket,239
325,Bathroom,Chair,239
326,Bathroom,Countertop-wood,239
327,Bathroom,Robot,239
328,Bathroom,Pepper,239
329,Bathroom,Toilet,239
330,Bathroom,Salt,239
331,Bathroom,Clothes-folded,239
332,Bathroom,Closet,239
333,Bathroom,Computer,239
334,Bathroom,Single-bed,239
335,Bathroom,Shelf,239
